初期値データ, 得意先コード１, 得意先コード２, 状態, 得意先名1, 得意先名2, 得意先名(フリガナ)1, 得意先名(フリガナ)2, 略称, 郵便番号１, 郵便番号２, 住所１, 住所２, 住所(フリガナ), 地区, TEL, FAX, 代表者氏名, ご担当者１, ご担当者２, ご担当者３, 窓口ご担当, キーマン, 営業時間(午前開始時間), 営業時間(午前開始時間), 営業時間(午前終了時間), 営業時間(午前終了時間), 営業時間(午後後開始時間), 営業時間(午後開始時間), 営業時間(午後終了時間), 営業時間(午後終了時間), 休日, 業種, 業態, 請求先コード１, 請求先コード２, 請求先名, 紹介口座先コード, 紹介口座先名, 契約担当１, 契約担当２, 回収条件, 与信限度,資本金, 取引区分, 締日, 集金日(月) , 集金日(日), 集金方法, 振込銀行, 振込名義, 口座名義, 契約年月日(年), 契約年月日(月), 契約年月日(日), 契約終了日(年), 契約終了日(月), 契約終了日(日), 契約期間, 契約更新日(年), 契約更新日(月), 契約更新日(日), 伝票発行, 納品書コメント, 請求書発行, 丸め, 消費税(課税単位), 消費税(端数区分), 設備情報等・その他, Email, URL, 代表者携帯, 直通TEL, 業態, 施設, 創業日(年), 創業日(月), 創業日(日), 取引履歴, 重要事項, お振込先口座名, 銀行/支店名, 口座番号, 巡回開始日(年), 巡回開始日(月), 巡回開始日(日), 納品書コメント(効果), 請求書送付(郵送), 経理会計窓口, 略称(フリガナ), 代表者役職, 振込銀行, 住所３, 親会社名, 親会社TEL, 親会社住所, 得意先名2, 得意先名2(フリガナ), ご担当者役職１, ご担当者役職２, ご担当者役職３, ご担当者備考, ご担当者備考, 請求書コメント, 得意先１伝票印字, 得意先２伝票印字, 親会社代表者氏名, 代行フラグ,伝票発行パターン,請求書発効パターン,担当支店,課税区分,請求先２コード１,請求先２コード２,請求先２名,口座ID ,紹介口座先CD2
,26,,取引中,株式会社東和鋲螺製作所,,ﾄｳﾜﾋﾞｮｳﾗｾｲｻｸｼｮ,,㈱東和鋲螺製作所,601,8452,京都市南区唐橋堂ノ前町15-10,c,,京都市内,075-651-7371,,,,,,,,,,,,,,,,,その他,,26,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,29,,取引中,焼肉どころ鼎,,ﾔｷﾆｸﾄﾞｺﾛｶﾅｴ,,焼肉どころ鼎,612,868,京都市伏見区深草直違橋南1丁目491番地1,c,,京都市内,075-641-2983,,,,,,,,,,,,,,,,,その他,,29,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,30,,取引中,リバージュ下鴨,,ﾘﾊﾞｰｼﾞｭｼﾓｶﾞﾓﾎﾂﾞﾐｹｲｲﾁﾛｳ,,ﾘﾊﾞｰｼﾞｭ下鴨,606,807,京都市左京区下鴨泉川町53-19      ,③⑤↑3240,,京都市内,075-781-0384,,,,,,,,,,,,,,,,,その他,,30,,,,,,,,,,掛売上,末日,翌月,5日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,31,,取引中,ティーラウンジ TOTO,,ﾄﾄ,,ﾃｨｰﾗｳﾝｼﾞTOTO,605,73,京都市東山区四条通花見小路西入ﾙ北側  ,祇園町北側,,京都市内,075-551-2335,,,,,,,,,,,,,,,,,その他,,31,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,33,,取引中,有限会社 北斗商事,,ﾎｸﾄｼｮｳｼﾞ,,北斗商事   r,601,8187,京都市南区上鳥羽北村山町21番地2,r,,京都市内,075-682-5586,075-671-8472,岸本　明,,,,,,,,,,,,,,,その他,,33,,,,,,,,,,掛売上,20日,翌月,5日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,34,,取引中,有限会社 京都工業所,,ｷｮｳﾄｺｳｷﾞｮｳｼｮ,,京都工業所,601,8352,京都市南区吉祥院西浦町52-1,c,,京都市内,075-672-2728,,,,,,,,,,,,,,,,,その他,,34,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,36,,取引中,太陽精機 株式会社,,ﾀｲﾖｳｾｲｷ,,太陽精機㈱,601,8204,京都市南区久世東土川町242        ,,,京都市内,075-921-9211,075-934-8886,堀　英二郎,,,,,,,,,,,,,,,その他,,36,,,,,,,,,,掛売上,20日,翌月,15日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,38,,取引中,竹　真,,ﾁｸﾏ,,竹真,601,8453,京都市南区唐橋羅城門町5-2,c,,京都市内,075-681-1966,,,,,,,,,,,,,,,,,その他,,38,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,39,,取引中,松 本 酒 店,,ﾏﾂﾓﾄｻｹﾃﾝ,,松本酒店,612,874,京都市伏見区深草東伊達町11-7,c,,京都市内,075-642-7781,,,,,,,,,,,,,,,,,その他,,39,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,41,,取引中,松本松栄堂,,ﾏﾂﾓﾄｼｮｳｴｲﾄﾞｳ,,松本松栄堂,604,0,京都市中京区寺町通夷川上る,c,,京都市内,075-212-0626,075-231-5854,松本喜久夫,,,,,,,,,,,,,,,その他,,41,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,42,,取引中,北岸商事株式会社,,ｷﾀｷﾞｼｼｮｳｼﾞ,,北岸商事,520,2341,滋賀県野洲市行畑1丁目1番1号,,,滋賀県,077-587-1213,077-587-4460,,,,,,,,,,,,,,,,その他,,42,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,43,,取引中,中國料理 大  進,,ﾀﾞｲｼﾝ,,大進　s,601,8353,京都市南区吉祥院這登中町47-5        ,s,,京都市内,075-661-1454,,,,,,,,,,,,,,,,,その他,,43,,,,,,,,,,掛売上,20日,翌月,5日,訪問集金,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,44,,取引中,家庭料理 みやこ,,ｶﾃｲﾘｮｳﾘﾐﾔｺ,,家庭料理 みやこ,606,8007,京都市左京区山端壱町田町8-74,c,,京都市内,075-722-2090,,,,,,,,,,,,,,,,,その他,,44,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,46,,取引中,洛陽総合高等学校　校長 土屋 順敬,,ﾗｸﾖｳｿｳｺﾞｳｺｳﾄｳｶﾞｯｺｳ ,,洛陽総合高等学校,604,8453,京都市中京区西ノ京春日町8番地,学校法人 洛陽総合学院,,京都市内,075-802-0394,075-822-0472,土屋 順敬,,,,,,,,,,,,,,,その他,,46,,,,,,,,,,掛売上,20日,同月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,50,,取引中,小林ドライブショップ,,ｺﾊﾞﾔｼﾄﾞﾗｲﾌﾞｼｮｯﾌﾟ,,小林ドライブショップ,606,843,京都市左京区下鴨水口町24-3,c,,京都市内,075-721-3981,,,,,,,,,,,,,,,,,その他,,50,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,51,,取引中,有限会社福島製作所,,ﾌｸｼﾏｾｲｻｸｼｮ,,福島製作所,621,33,亀岡市田野町佐伯出山地48,,,京都市外,0771-23-8304,0771-24-5028,福島　豊,,,,,,,,,,,,,,,その他,,51,,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,53,,取引中,株式会社 出　石,,ｲｽﾞｼ,,株式会社出石,606,8345,京都市左京区古川町通三条上ﾙ東門前町,c,,京都市内,075-761-1230,075-761-1239,,,,,,,,,,,,,,,,その他,,53,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,54,0,取引中,ケアサポートセンター壬生,,ｹｱｻﾎﾟｰﾄｾﾝﾀｰﾐﾌﾞ,,ケアサポート壬生,604,8812,京都市中京区壬生相合町63-1,,,京都市内,075-813-5251,,,,,,,,,,,,,,,,,その他,,54,0,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,55,,取引中,洋装店  ミ レ ー,,ﾐﾚｰ,,洋装店ミレー,615,8281,京都市西京区松尾木ノ曽町５４１番地      ,c,,京都市内,075-381-5741,,,,,,,,,,,,,,,,,その他,,55,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,54,1,取引中,ケアサポートセンター宝ケ池,,ｹｱｻﾎﾟｰﾄｾﾝﾀｰﾀｶﾗｶﾞｲｹ,,ケアサポートセンター,606,147,京都市左京区上高野薩田町11-1,,,京都市内,075-702-2051,,,,,,,,,,,,,,,,,その他,,54,1,,,,,,,,,掛売上,末日,翌月,10日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,57,,取引中,有限会社 Ｎ・Ｙ ,,ﾄﾞﾝｷﾎｰﾃ,,㈲N･Y どんきほ～て,610,1102,京都市西京区御陵大枝山町6丁目14番地12,m,,京都市内,075-468-8925,075-468-8926,木田 信久,,,,,,,,,,,,,,,その他,,57,,,,,,,,,,掛売上,末日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,54,2,取引中,ケアサポートセンター吉祥院,,ｹｱｻﾎﾟｰﾄｾﾝﾀｰｷｯｼｮｳｲﾝ,,ｹｱｻﾎﾟｰﾄｾﾝﾀｰ吉祥院 ,601,8339,京都市南区吉祥院里ノ内町7-1,,,京都市内,075-693-3602,,,,,,,,,,,,,,,,,その他,,54,2,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,60,,取引中,アートン,,ｱｰﾄﾝ,,アートン,616,8256,京都市右京区鳴滝松本町3-4　           ,c,,京都市内,075-463-7533,,,,,,,,,,,,,,,,,その他,,60,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,61,,取引中,ターゲット・エンジニアリング株式会社,,ﾀ-ｹﾞｯﾄ･ｴﾝｼﾞﾆｱﾘﾝｸﾞｰ,,ﾀ-ｹﾞｯﾄｴﾝｼﾞﾆｱﾘﾝｸﾞ,612,8429,京都市伏見区竹田西段川原町93番地,c,,京都市内,075-646-3980,075-645-3231,林　利夫,,,,,,,,,,,,,,,その他,,61,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,62,,取引中,ナカジマ,,ﾅｶｼﾞﾏ,,ナカジマ,520,26,大津市桜野町2丁目5-18,c,,滋賀県,077-523-0201,,,,,,,,,,,,,,,,,その他,,62,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,63,,取引中,笑顔とふれあいの家みささぎ,,ｷｮｳﾄｼｼｭｳﾄｸﾄｸﾍﾞﾂﾖｳｺﾞﾛｳｼﾞﾝﾎｰﾑﾐｻｻｷﾞ,,ふれあいの家みささぎ,607,8424,京都市山科区御陵原西町42番地,,,京都市内,075-582-3228,075-582-3232,,,,,,,,,,,,,,,,その他,,63,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,68,,取引中,株式会社 フェイス,,ﾌｪｲｽ,,フェイス,604,8375,京都市中京区西ノ京池ノ内町19-9,井上ビル2F    c,,京都市内,075-432-8481,075-432-8488,,,,,,,,,,,,,,,,その他,,68,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,72,,取引中,鳥忠,,ﾄﾘﾀﾀﾞ,,鳥忠,607,8146,京都市山科区東野舞台町37-6,c,,京都市内,075-591-8723,,,,,,,,,,,,,,,,,その他,,72,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,73,,取引中,東大路調剤薬局,,ﾋｶﾞｼｵｵｼﾞﾁｮｳｻﾞｲﾔｯｷｮｸ,,東大路調剤薬,606,8391,京都市左京区聖護院西町19番地          ,c,,京都市内,075-752-0905,075-752-0910,,,,,,,,,,,,,,,,その他,,73,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,74,,取引中,西本建設 株式会社,,ﾆｼﾓﾄｹﾝｾﾂｶﾌﾞｼｷｶﾞｲｼｬ,,西本建設㈱,612,8412,京都市伏見区竹田中川原町431番地,,,京都市内,075-643-1141,075-643-1190,,,,,,,,,,,,,,,,その他,,74,,,,,,,,,,掛売上,20日,翌月,20日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,75,0,取引中,お好み焼 やまじゅう,,ﾔﾏｼﾞｭｳ,,やまじゅう,606,8225,京都市左京区田中門前町23番地          ,c,,京都市内,075-722-0461,,,,,,,,,,,,,,,,,その他,,75,0,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,75,1,取引中,お好み焼 やまじゅう,,ﾔﾏｼﾞｭｳ,,やまじゅう,606,8225,京都市左京区田中門前町23番地          ,c,,京都市内,075-722-0461,,,,,,,,,,,,,,,,,その他,,75,0,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,85,,取引中,アソヅビル,,ｱﾝﾂﾞﾋﾞﾙ,,アソヅビル,612,8401,京都市伏見区深草下川原町122,c,,京都市内,075-641-3042,,,,,,,,,,,,,,,,,その他,,85,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,86,,取引中,PLUM FIELD KYOTO,,ﾌﾟﾗﾑﾌｨｰﾙﾄﾞｷｮｳﾄ,,PLUM FIELD KYOTO,601,8111,京都市南区上鳥羽苗代町27-3,ｃ,,京都市内,075-693-5087,,,,,,,,,,,,,,,,,その他,,86,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,90,0,取引中,大京食品 株式会社,,ﾀﾞｲｷｮｳｼｮｸﾋﾝ,,大京食品,601,8162,京都市南区上鳥羽塔ノ森柴東町43-2,,,京都市内,075-682-0916,075-682-0917,,,,,,,,,,,,,,,,その他,,90,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,90,1,取引中,大京食品 株式会社,おあげファクトリ―,ﾀﾞｲｷｮｳｼｮｸﾋﾝ　ｵｱげ,,大京食品,601,8162,京都市南区上鳥羽塔ノ森柴東町43-2,,,京都市内,075-682-0916,075-682-0917,,,,,,,,,,,,,,,,その他,,90,0,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,92,,取引中,オーツカ薬局聖護院店,,ｵｰﾂｶﾔｯｷｮｸｼｮｳｺﾞｲﾝ,,ｵｰﾂｶ聖護院,606,8391,京都市左京区聖護院西町３１番地          ,c,,京都市内,075-752-1220,075-752-1227,,,,,,,,,,,,,,,,その他,,92,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,93,,解約,NECﾌｨｰﾙﾃﾞｨﾝｸﾞ株式会社 彦根営業所×,,ｴﾇｲｰｼｰﾌｨｰﾙﾃﾞｨﾝｸﾞﾋｺﾈ,,NECﾌｨｰﾙ彦根×,522,73,彦根市旭町8-20,×,,滋賀県,0749-24-6370,,,,,,,,,,,,,,,,,その他,,93,,,,,,,,,,掛売上,末日,翌月,末日,振込,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
,94,,取引中,株式会社 エクテック,,ｴｸﾃｯｸ,,エクテック,615,46,京都市右京区西院西溝崎町8,c,,京都市内,075-313-9319,075-313-9325,河原 信也,,,,,,,,,,,,,,,その他,,94,,,,,,,,,,現金売上,末日,同月,末日,,,,,,,,,,,,,,,有,,明細請求書,四捨五入,伝票単位,四捨五入,,,,,,,,,,,,,,,,,,,,郵送,,,,,,,,,,,,,,,,,,,,,,,光,,,,,,
